"","L7off year","L7off Jul","L7off NDVI"
"1",2011,7,1349
"2",2011,14,1302
"3",2011,23,1275
"4",2011,30,1147.5
"5",2011,39,1264
"6",2011,46,1270
"7",2011,55,1198
"8",2011,62,1206
"9",2011,71,1210
"10",2011,78,1242
"11",2011,87,1188
"12",2011,94,1193
"13",2011,103,1131
"14",2011,110,1200
"15",2011,119,1199
"16",2011,126,1231
"17",2011,135,1155
"18",2011,142,1191
"19",2011,151,944
"20",2011,158,1193
"21",2011,167,1197
"22",2011,174,1180
"23",2011,183,1162
"24",2011,190,1176
"25",2011,199,1120
"26",2011,206,1913
"27",2011,215,3364
"28",2011,222,NA
"29",2011,231,2641
"30",2011,238,2798
"31",2011,247,2178
"32",2011,254,2398
"33",2011,263,2731.5
"34",2011,270,2093
"35",2011,279,2183
"36",2011,286,2073
"37",2011,295,1849
"38",2011,302,1810
"39",2011,311,1678
"40",2011,318,1405.5
"41",2011,327,1533
"42",2011,334,1443
"43",2011,343,1401
"44",2011,350,1354.5
"45",2011,359,1392.5
